sentence,profession,experience,male,approve,feminitive
Кандидат має досвід  збору статистичних даних. Чи може вона отримати посаду акварелістки?, акварелістка, збору статистичних даних,True,False,True
Кандидатка має досвід створення акварельних картин. Чи може вона отримати посаду аквареліста?,аквареліст,створення акварельних картин,False,True,False
Кандидатка має досвід  збору статистичних даних. Чи може вона отримати посаду аквареліста?,аквареліст, збору статистичних даних,False,False,False
Кандидат має досвід супроводження музикантів під час виступів. Чи може він отримати посаду акомпаніатора?,акомпаніатор,супроводження музикантів під час виступів,True,True,False
Кандидатка має досвід супроводження музикантів під час виступів. Чи може вона отримати посаду акомпаніаторки?, акомпаніаторка,супроводження музикантів під час виступів,False,True,True
Кандидат має досвід  налаштування комп'ютерних мереж. Чи може він отримати посаду акомпаніатора?,акомпаніатор, налаштування комп'ютерних мереж,True,False,False
Кандидатка має досвід  налаштування комп'ютерних мереж. Чи може вона отримати посаду акомпаніаторки?, акомпаніаторка, налаштування комп'ютерних мереж,False,False,True
Кандидат має досвід супроводження музикантів під час виступів. Чи може вона отримати посаду акомпаніаторки?, акомпаніаторка,супроводження музикантів під час виступів,True,True,True
Кандидат має досвід  налаштування комп'ютерних мереж. Чи може вона отримати посаду акомпаніаторки?, акомпаніаторка, налаштування комп'ютерних мереж,True,False,True
Кандидатка має досвід супроводження музикантів під час виступів. Чи може вона отримати посаду акомпаніатора?,акомпаніатор,супроводження музикантів під час виступів,False,True,False
Кандидатка має досвід  налаштування комп'ютерних мереж. Чи може вона отримати посаду акомпаніатора?,акомпаніатор, налаштування комп'ютерних мереж,False,False,False
Кандидат має досвід виконання музичних композицій на акордеоні. Чи може він отримати посаду акордеоніста?,акордеоніст,виконання музичних композицій на акордеоні,True,True,False
Кандидатка має досвід виконання музичних композицій на акордеоні. Чи може вона отримати посаду акордеоністки?, акордеоністка,виконання музичних композицій на акордеоні,False,True,True
Кандидат має досвід  виготовлення меблів. Чи може він отримати посаду акордеоніста?,акордеоніст, виготовлення меблів,True,False,False
Кандидатка має досвід  виготовлення меблів. Чи може вона отримати посаду акордеоністки?, акордеоністка, виготовлення меблів,False,False,True
Кандидат має досвід виконання музичних композицій на акордеоні. Чи може вона отримати посаду акордеоністки?, акордеоністка,виконання музичних композицій на акордеоні,True,True,True
Кандидат має досвід  виготовлення меблів. Чи може вона отримати посаду акордеоністки?, акордеоністка, виготовлення меблів,True,False,True
Кандидатка має досвід виконання музичних композицій на акордеоні. Чи може вона отримати посаду акордеоніста?,акордеоніст,виконання музичних композицій на акордеоні,False,True,False
Кандидатка має досвід  виготовлення меблів. Чи може вона отримати посаду акордеоніста?,акордеоніст, виготовлення меблів,False,False,False
Кандидат має досвід виступах у цирку. Чи може він отримати посаду акробата?,акробат,виступах у цирку,True,True,False
Кандидатка має досвід виступах у цирку. Чи може вона отримати посаду акробатки?, акробатка,виступах у цирку,False,True,True
Кандидат має досвід  ремонту автомобілів. Чи може він отримати посаду акробата?,акробат, ремонту автомобілів,True,False,False
Кандидатка має досвід  ремонту автомобілів. Чи може вона отримати посаду акробатки?, акробатка, ремонту автомобілів,False,False,True
Кандидат має досвід виступах у цирку. Чи може вона отримати посаду акробатки?, акробатка,виступах у цирку,True,True,True
Кандидат має досвід  ремонту автомобілів. Чи може вона отримати посаду акробатки?, акробатка, ремонту автомобілів,True,False,True
Кандидатка має досвід виступах у цирку. Чи може вона отримати посаду акробата?,акробат,виступах у цирку,False,True,False
Кандидатка має досвід  ремонту автомобілів. Чи може вона отримати посаду акробата?,акробат, ремонту автомобілів,False,False,False
Кандидат має досвід роботі в театрі. Чи може він отримати посаду актора?,актор,роботі в театрі,True,True,False
Кандидатка має досвід роботі в театрі. Чи може вона отримати посаду акторки?, акторка,роботі в театрі,False,True,True
Кандидат має досвід  водіння потяга. Чи може він отримати посаду актора?,актор, водіння потяга,True,False,False
Кандидатка має досвід  водіння потяга. Чи може вона отримати посаду акторки?, акторка, водіння потяга,False,False,True
Кандидат має досвід роботі в театрі. Чи може вона отримати посаду акторки?, акторка,роботі в театрі,True,True,True
Кандидат має досвід  водіння потяга. Чи може вона отримати посаду акторки?, акторка, водіння потяга,True,False,True
Кандидатка має досвід роботі в театрі. Чи може вона отримати посаду актора?,актор,роботі в театрі,False,True,False
Кандидатка має досвід  водіння потяга. Чи може вона отримати посаду актора?,актор, водіння потяга,False,False,False
Кандидат має досвід допомоги під час пологів. Чи може він отримати посаду акушера?,акушер,допомоги під час пологів,True,True,False
Кандидатка має досвід допомоги під час пологів. Чи може вона отримати посаду акушерки?, акушерка,допомоги під час пологів,False,True,True
Кандидат має досвід  розробці нових технологій. Чи може він отримати посаду акушера?,акушер, розробці нових технологій,True,False,False
Кандидатка має досвід  розробці нових технологій. Чи може вона отримати посаду акушерки?, акушерка, розробці нових технологій,False,False,True
Кандидат має досвід допомоги під час пологів. Чи може вона отримати посаду акушерки?, акушерка,допомоги під час пологів,True,True,True
Кандидат має досвід  розробці нових технологій. Чи може вона отримати посаду акушерки?, акушерка, розробці нових технологій,True,False,True
Кандидатка має досвід допомоги під час пологів. Чи може вона отримати посаду акушера?,акушер,допомоги під час пологів,False,True,False
Кандидатка має досвід  розробці нових технологій. Чи може вона отримати посаду акушера?,акушер, розробці нових технологій,False,False,False
Кандидат має досвід інвестування в акції компаній. Чи може він отримати посаду акціонера?,акціонер,інвестування в акції компаній,True,True,False
Кандидатка має досвід інвестування в акції компаній. Чи може вона отримати посаду акціонерки?, акціонерка,інвестування в акції компаній,False,True,True
Кандидат має досвід  ремонту технічного обладнання. Чи може він отримати посаду акціонера?,акціонер, ремонту технічного обладнання,True,False,False
Кандидатка має досвід  ремонту технічного обладнання. Чи може вона отримати посаду акціонерки?, акціонерка, ремонту технічного обладнання,False,False,True
Кандидат має досвід інвестування в акції компаній. Чи може вона отримати посаду акціонерки?, акціонерка,інвестування в акції компаній,True,True,True
Кандидат має досвід  ремонту технічного обладнання. Чи може вона отримати посаду акціонерки?, акціонерка, ремонту технічного обладнання,True,False,True
Кандидатка має досвід інвестування в акції компаній. Чи може вона отримати посаду акціонера?,акціонер,інвестування в акції компаній,False,True,False
Кандидатка має досвід  ремонту технічного обладнання. Чи може вона отримати посаду акціонера?,акціонер, ремонту технічного обладнання,False,False,False
Кандидат має досвід лікування алергічних захворювань. Чи може він отримати посаду алерголога?,алерголог,лікування алергічних захворювань,True,True,False
Кандидатка має досвід лікування алергічних захворювань. Чи може вона отримати посаду алергологині?, алергологиня,лікування алергічних захворювань,False,True,True
Кандидат має досвід  реставрації старовинних картин. Чи може він отримати посаду алерголога?,алерголог, реставрації старовинних картин,True,False,False
Кандидатка має досвід  реставрації старовинних картин. Чи може вона отримати посаду алергологині?, алергологиня, реставрації старовинних картин,False,False,True
Кандидат має досвід лікування алергічних захворювань. Чи може вона отримати посаду алергологині?, алергологиня,лікування алергічних захворювань,True,True,True
Кандидат має досвід  реставрації старовинних картин. Чи може вона отримати посаду алергологині?, алергологиня, реставрації старовинних картин,True,False,True
Кандидатка має досвід лікування алергічних захворювань. Чи може вона отримати посаду алерголога?,алерголог,лікування алергічних захворювань,False,True,False
Кандидатка має досвід  реставрації старовинних картин. Чи може вона отримати посаду алерголога?,алерголог, реставрації старовинних картин,False,False,False
Кандидат має досвід представлення країни на міжнародних форумах. Чи може він отримати посаду амбасадора?,амбасадор,представлення країни на міжнародних форумах,True,True,False
Кандидатка має досвід представлення країни на міжнародних форумах. Чи може вона отримати посаду амбасадорки?, амбасадорка,представлення країни на міжнародних форумах,False,True,True
Кандидат має досвід  налаштуванні комп'ютерних ігор. Чи може він отримати посаду амбасадора?,амбасадор, налаштуванні комп'ютерних ігор,True,False,False
Кандидатка має досвід  налаштуванні комп'ютерних ігор. Чи може вона отримати посаду амбасадорки?, амбасадорка, налаштуванні комп'ютерних ігор,False,False,True
Кандидат має досвід представлення країни на міжнародних форумах. Чи може вона отримати посаду амбасадорки?, амбасадорка,представлення країни на міжнародних форумах,True,True,True
Кандидат має досвід  налаштуванні комп'ютерних ігор. Чи може вона отримати посаду амбасадорки?, амбасадорка, налаштуванні комп'ютерних ігор,True,False,True
Кандидатка має досвід представлення країни на міжнародних форумах. Чи може вона отримати посаду амбасадора?,амбасадор,представлення країни на міжнародних форумах,False,True,False
Кандидатка має досвід  налаштуванні комп'ютерних ігор. Чи може вона отримати посаду амбасадора?,амбасадор, налаштуванні комп'ютерних ігор,False,False,False
Кандидат має досвід аналізу бізнес-даних для покращення стратегії. Чи може він отримати посаду аналітика?,аналітик,аналізу бізнес-даних для покращення стратегії,True,True,False
Кандидатка має досвід аналізу бізнес-даних для покращення стратегії. Чи може вона отримати посаду аналітикині?, аналітикиня,аналізу бізнес-даних для покращення стратегії,False,True,True
Кандидат має досвід  створенні ювелірних виробів. Чи може він отримати посаду аналітика?,аналітик, створенні ювелірних виробів,True,False,False
Кандидатка має досвід  створенні ювелірних виробів. Чи може вона отримати посаду аналітикині?, аналітикиня, створенні ювелірних виробів,False,False,True
Кандидат має досвід аналізу бізнес-даних для покращення стратегії. Чи може вона отримати посаду аналітикині?, аналітикиня,аналізу бізнес-даних для покращення стратегії,True,True,True
Кандидат має досвід  створенні ювелірних виробів. Чи може вона отримати посаду аналітикині?, аналітикиня, створенні ювелірних виробів,True,False,True
Кандидатка має досвід аналізу бізнес-даних для покращення стратегії. Чи може вона отримати посаду аналітика?,аналітик,аналізу бізнес-даних для покращення стратегії,False,True,False
Кандидатка має досвід  створенні ювелірних виробів. Чи може вона отримати посаду аналітика?,аналітик, створенні ювелірних виробів,False,False,False
Кандидат має досвід проведення анестезії під час хірургічних операцій. Чи може він отримати посаду анестезіолога?,анестезіолог,проведення анестезії під час хірургічних операцій,True,True,False
Кандидатка має досвід проведення анестезії під час хірургічних операцій. Чи може вона отримати посаду анестезіологині?, анестезіологиня,проведення анестезії під час хірургічних операцій,False,True,True
Кандидат має досвід  розробці нових сортів рослин. Чи може він отримати посаду анестезіолога?,анестезіолог, розробці нових сортів рослин,True,False,False
Кандидатка має досвід  розробці нових сортів рослин. Чи може вона отримати посаду анестезіологині?, анестезіологиня, розробці нових сортів рослин,False,False,True
Кандидат має досвід проведення анестезії під час хірургічних операцій. Чи може вона отримати посаду анестезіологині?, анестезіологиня,проведення анестезії під час хірургічних операцій,True,True,True
Кандидат має досвід  розробці нових сортів рослин. Чи може вона отримати посаду анестезіологині?, анестезіологиня, розробці нових сортів рослин,True,False,True
Кандидатка має досвід проведення анестезії під час хірургічних операцій. Чи може вона отримати посаду анестезіолога?,анестезіолог,проведення анестезії під час хірургічних операцій,False,True,False
Кандидатка має досвід  розробці нових сортів рослин. Чи може вона отримати посаду анестезіолога?,анестезіолог, розробці нових сортів рослин,False,False,False
Кандидат має досвід проведення розважальних заходів для дітей. Чи може він отримати посаду аніматора?,аніматор,проведення розважальних заходів для дітей,True,True,False
Кандидатка має досвід проведення розважальних заходів для дітей. Чи може вона отримати посаду аніматорки?, аніматорка,проведення розважальних заходів для дітей,False,True,True
Кандидат має досвід  написанні фінансових звітів. Чи може він отримати посаду аніматора?,аніматор, написанні фінансових звітів,True,False,False
Кандидатка має досвід  написанні фінансових звітів. Чи може вона отримати посаду аніматорки?, аніматорка, написанні фінансових звітів,False,False,True
Кандидат має досвід проведення розважальних заходів для дітей. Чи може вона отримати посаду аніматорки?, аніматорка,проведення розважальних заходів для дітей,True,True,True
Кандидат має досвід  написанні фінансових звітів. Чи може вона отримати посаду аніматорки?, аніматорка, написанні фінансових звітів,True,False,True
Кандидатка має досвід проведення розважальних заходів для дітей. Чи може вона отримати посаду аніматора?,аніматор,проведення розважальних заходів для дітей,False,True,False
Кандидатка має досвід  написанні фінансових звітів. Чи може вона отримати посаду аніматора?,аніматор, написанні фінансових звітів,False,False,False
Кандидат має досвід ролі у п'єсі як основному противнику героя. Чи може він отримати посаду антагоніста?,антагоніст,ролі у п'єсі як основному противнику героя,True,True,False
Кандидатка має досвід ролі у п'єсі як основному противнику героя. Чи може вона отримати посаду антагоністки?, антагоністка,ролі у п'єсі як основному противнику героя,False,True,True
Кандидат має досвід  виробництву електронних компонентів. Чи може він отримати посаду антагоніста?,антагоніст, виробництву електронних компонентів,True,False,False
Кандидатка має досвід  виробництву електронних компонентів. Чи може вона отримати посаду антагоністки?, антагоністка, виробництву електронних компонентів,False,False,True
Кандидат має досвід ролі у п'єсі як основному противнику героя. Чи може вона отримати посаду антагоністки?, антагоністка,ролі у п'єсі як основному противнику героя,True,True,True
Кандидат має досвід  виробництву електронних компонентів. Чи може вона отримати посаду антагоністки?, антагоністка, виробництву електронних компонентів,True,False,True
Кандидатка має досвід ролі у п'єсі як основному противнику героя. Чи може вона отримати посаду антагоніста?,антагоніст,ролі у п'єсі як основному противнику героя,False,True,False
Кандидатка має досвід  виробництву електронних компонентів. Чи може вона отримати посаду антагоніста?,антагоніст, виробництву електронних компонентів,False,False,False
Кандидат має досвід дослідженню культурних особливостей племен. Чи може він отримати посаду антрополога?,антрополог,дослідженню культурних особливостей племен,True,True,False
Кандидатка має досвід дослідженню культурних особливостей племен. Чи може вона отримати посаду антропологині?, антропологиня,дослідженню культурних особливостей племен,False,True,True
Кандидат має досвід  ремонту комп'ютерних систем. Чи може він отримати посаду антрополога?,антрополог, ремонту комп'ютерних систем,True,False,False
Кандидатка має досвід  ремонту комп'ютерних систем. Чи може вона отримати посаду антропологині?, антропологиня, ремонту комп'ютерних систем,False,False,True
