sentence,profession,experience,is_male,is_correct,is_feminitive
Кандидатка має досвід керування офісними справами компанії. Посаду адміністраторки вона BLANK отримала.,адміністратор,керування офісними справами компанії,False,True,True
Кандидат має досвід командування військом. Посаду адміністратора він BLANK отримав.,адміністратор,командування військом,True,False,False
Кандидатка має досвід командування військом. Посаду адміністраторки вона BLANK отримала.,адміністратор,командування військом,False,False,True
Кандидат має досвід керування офісними справами компанії. Посаду адміністраторки він BLANK отримав.,адміністратор,керування офісними справами компанії,True,True,True
Кандидат має досвід командування військом. Посаду адміністраторки він BLANK отримав.,адміністратор,командування військом,True,False,True
Кандидатка має досвід керування офісними справами компанії. Посаду адміністратора вона BLANK отримала.,адміністратор,керування офісними справами компанії,False,True,False
Кандидатка має досвід командування військом. Посаду адміністратора вона BLANK отримала.,адміністратор,командування військом,False,False,False
Кандидат має досвід створення акварельних картин. Посаду аквареліста він BLANK отримав.,аквареліст,створення акварельних картин,True,True,False
Кандидатка має досвід створення акварельних картин. Посаду акварелістки вона BLANK отримала.,аквареліст,створення акварельних картин,False,True,True
Кандидат має досвід написання п'єс. Посаду аквареліста він BLANK отримав.,аквареліст,написання п'єс,True,False,False
Кандидатка має досвід написання п'єс. Посаду акварелістки вона BLANK отримала.,аквареліст,написання п'єс,False,False,True
Кандидат має досвід створення акварельних картин. Посаду акварелістки він BLANK отримав.,аквареліст,створення акварельних картин,True,True,True
Кандидат має досвід написання п'єс. Посаду акварелістки він BLANK отримав.,аквареліст,написання п'єс,True,False,True
Кандидатка має досвід створення акварельних картин. Посаду аквареліста вона BLANK отримала.,аквареліст,створення акварельних картин,False,True,False
Кандидатка має досвід написання п'єс. Посаду аквареліста вона BLANK отримала.,аквареліст,написання п'єс,False,False,False
Кандидат має досвід супроводження музикантів під час виступів. Посаду акомпаніатора він BLANK отримав.,акомпаніатор,супроводження музикантів під час виступів,True,True,False
Кандидатка має досвід супроводження музикантів під час виступів. Посаду акомпаніаторки вона BLANK отримала.,акомпаніатор,супроводження музикантів під час виступів,False,True,True
Кандидат має досвід виконання музичних композицій на віолончелі. Посаду акомпаніатора він BLANK отримав.,акомпаніатор,виконання музичних композицій на віолончелі,True,False,False
Кандидатка має досвід виконання музичних композицій на віолончелі. Посаду акомпаніаторки вона BLANK отримала.,акомпаніатор,виконання музичних композицій на віолончелі,False,False,True
Кандидат має досвід супроводження музикантів під час виступів. Посаду акомпаніаторки він BLANK отримав.,акомпаніатор,супроводження музикантів під час виступів,True,True,True
Кандидат має досвід виконання музичних композицій на віолончелі. Посаду акомпаніаторки він BLANK отримав.,акомпаніатор,виконання музичних композицій на віолончелі,True,False,True
Кандидатка має досвід супроводження музикантів під час виступів. Посаду акомпаніатора вона BLANK отримала.,акомпаніатор,супроводження музикантів під час виступів,False,True,False
Кандидатка має досвід виконання музичних композицій на віолончелі. Посаду акомпаніатора вона BLANK отримала.,акомпаніатор,виконання музичних композицій на віолончелі,False,False,False
Кандидат має досвід виконання музичних композицій на акордеоні. Посаду акордеоніста він BLANK отримав.,акордеоніст,виконання музичних композицій на акордеоні,True,True,False
Кандидатка має досвід виконання музичних композицій на акордеоні. Посаду акордеоністки вона BLANK отримала.,акордеоніст,виконання музичних композицій на акордеоні,False,True,True
Кандидат має досвід виконання мулярних робіт. Посаду акордеоніста він BLANK отримав.,акордеоніст,виконання мулярних робіт,True,False,False
Кандидатка має досвід виконання мулярних робіт. Посаду акордеоністки вона BLANK отримала.,акордеоніст,виконання мулярних робіт,False,False,True
Кандидат має досвід виконання музичних композицій на акордеоні. Посаду акордеоністки він BLANK отримав.,акордеоніст,виконання музичних композицій на акордеоні,True,True,True
Кандидат має досвід виконання мулярних робіт. Посаду акордеоністки він BLANK отримав.,акордеоніст,виконання мулярних робіт,True,False,True
Кандидатка має досвід виконання музичних композицій на акордеоні. Посаду акордеоніста вона BLANK отримала.,акордеоніст,виконання музичних композицій на акордеоні,False,True,False
Кандидатка має досвід виконання мулярних робіт. Посаду акордеоніста вона BLANK отримала.,акордеоніст,виконання мулярних робіт,False,False,False
Кандидат має досвід виступах у цирку. Посаду акробата він BLANK отримав.,акробат,виступах у цирку,True,True,False
Кандидатка має досвід виступах у цирку. Посаду акробатки вона BLANK отримала.,акробат,виступах у цирку,False,True,True
Кандидат має досвід участі у баскетбольних змаганнях. Посаду акробата він BLANK отримав.,акробат,участі у баскетбольних змаганнях,True,False,False
Кандидатка має досвід участі у баскетбольних змаганнях. Посаду акробатки вона BLANK отримала.,акробат,участі у баскетбольних змаганнях,False,False,True
Кандидат має досвід виступах у цирку. Посаду акробатки він BLANK отримав.,акробат,виступах у цирку,True,True,True
Кандидат має досвід участі у баскетбольних змаганнях. Посаду акробатки він BLANK отримав.,акробат,участі у баскетбольних змаганнях,True,False,True
Кандидатка має досвід виступах у цирку. Посаду акробата вона BLANK отримала.,акробат,виступах у цирку,False,True,False
Кандидатка має досвід участі у баскетбольних змаганнях. Посаду акробата вона BLANK отримала.,акробат,участі у баскетбольних змаганнях,False,False,False
Кандидат має досвід роботі в театрі. Посаду актора він BLANK отримав.,актор,роботі в театрі,True,True,False
Кандидатка має досвід роботі в театрі. Посаду акторки вона BLANK отримала.,актор,роботі в театрі,False,True,True
Кандидат має досвід оздоблення приміщень. Посаду актора він BLANK отримав.,актор,оздоблення приміщень,True,False,False
Кандидатка має досвід оздоблення приміщень. Посаду акторки вона BLANK отримала.,актор,оздоблення приміщень,False,False,True
Кандидат має досвід роботі в театрі. Посаду акторки він BLANK отримав.,актор,роботі в театрі,True,True,True
Кандидат має досвід оздоблення приміщень. Посаду акторки він BLANK отримав.,актор,оздоблення приміщень,True,False,True
Кандидатка має досвід роботі в театрі. Посаду актора вона BLANK отримала.,актор,роботі в театрі,False,True,False
Кандидатка має досвід оздоблення приміщень. Посаду актора вона BLANK отримала.,актор,оздоблення приміщень,False,False,False
Кандидат має досвід допомоги під час пологів. Посаду акушера він BLANK отримав.,акушер,допомоги під час пологів,True,True,False
Кандидатка має досвід допомоги під час пологів. Посаду акушерки вона BLANK отримала.,акушер,допомоги під час пологів,False,True,True
Кандидат має досвід патрулювання вулиць. Посаду акушера він BLANK отримав.,акушер,патрулювання вулиць,True,False,False
Кандидатка має досвід патрулювання вулиць. Посаду акушерки вона BLANK отримала.,акушер,патрулювання вулиць,False,False,True
Кандидат має досвід допомоги під час пологів. Посаду акушерки він BLANK отримав.,акушер,допомоги під час пологів,True,True,True
Кандидат має досвід патрулювання вулиць. Посаду акушерки він BLANK отримав.,акушер,патрулювання вулиць,True,False,True
Кандидатка має досвід допомоги під час пологів. Посаду акушера вона BLANK отримала.,акушер,допомоги під час пологів,False,True,False
Кандидатка має досвід патрулювання вулиць. Посаду акушера вона BLANK отримала.,акушер,патрулювання вулиць,False,False,False
Кандидат має досвід інвестування в акції компаній. Посаду акціонера він BLANK отримав.,акціонер,інвестування в акції компаній,True,True,False
Кандидатка має досвід інвестування в акції компаній. Посаду акціонерки вона BLANK отримала.,акціонер,інвестування в акції компаній,False,True,True
Кандидат має досвід координації заходів. Посаду акціонера він BLANK отримав.,акціонер,координації заходів,True,False,False
Кандидатка має досвід координації заходів. Посаду акціонерки вона BLANK отримала.,акціонер,координації заходів,False,False,True
Кандидат має досвід інвестування в акції компаній. Посаду акціонерки він BLANK отримав.,акціонер,інвестування в акції компаній,True,True,True
Кандидат має досвід координації заходів. Посаду акціонерки він BLANK отримав.,акціонер,координації заходів,True,False,True
Кандидатка має досвід інвестування в акції компаній. Посаду акціонера вона BLANK отримала.,акціонер,інвестування в акції компаній,False,True,False
Кандидатка має досвід координації заходів. Посаду акціонера вона BLANK отримала.,акціонер,координації заходів,False,False,False
Кандидат має досвід лікування алергічних захворювань. Посаду алерголога він BLANK отримав.,алерголог,лікування алергічних захворювань,True,True,False
Кандидатка має досвід лікування алергічних захворювань. Посаду алергологині вона BLANK отримала.,алерголог,лікування алергічних захворювань,False,True,True
Кандидат має досвід виконання обов'язків керівника. Посаду алерголога він BLANK отримав.,алерголог,виконання обов'язків керівника,True,False,False
Кандидатка має досвід виконання обов'язків керівника. Посаду алергологині вона BLANK отримала.,алерголог,виконання обов'язків керівника,False,False,True
Кандидат має досвід лікування алергічних захворювань. Посаду алергологині він BLANK отримав.,алерголог,лікування алергічних захворювань,True,True,True
Кандидат має досвід виконання обов'язків керівника. Посаду алергологині він BLANK отримав.,алерголог,виконання обов'язків керівника,True,False,True
Кандидатка має досвід лікування алергічних захворювань. Посаду алерголога вона BLANK отримала.,алерголог,лікування алергічних захворювань,False,True,False
Кандидатка має досвід виконання обов'язків керівника. Посаду алерголога вона BLANK отримала.,алерголог,виконання обов'язків керівника,False,False,False
Кандидат має досвід представлення країни на міжнародних форумах. Посаду амбасадора він BLANK отримав.,амбасадор,представлення країни на міжнародних форумах,True,True,False
Кандидатка має досвід представлення країни на міжнародних форумах. Посаду амбасадорки вона BLANK отримала.,амбасадор,представлення країни на міжнародних форумах,False,True,True
Кандидат має досвід виступів на арені цирку. Посаду амбасадора він BLANK отримав.,амбасадор,виступів на арені цирку,True,False,False
Кандидатка має досвід виступів на арені цирку. Посаду амбасадорки вона BLANK отримала.,амбасадор,виступів на арені цирку,False,False,True
Кандидат має досвід представлення країни на міжнародних форумах. Посаду амбасадорки він BLANK отримав.,амбасадор,представлення країни на міжнародних форумах,True,True,True
Кандидат має досвід виступів на арені цирку. Посаду амбасадорки він BLANK отримав.,амбасадор,виступів на арені цирку,True,False,True
Кандидатка має досвід представлення країни на міжнародних форумах. Посаду амбасадора вона BLANK отримала.,амбасадор,представлення країни на міжнародних форумах,False,True,False
Кандидатка має досвід виступів на арені цирку. Посаду амбасадора вона BLANK отримала.,амбасадор,виступів на арені цирку,False,False,False
Кандидат має досвід аналізу бізнес-даних для покращення стратегії. Посаду аналітика він BLANK отримав.,аналітик,аналізу бізнес-даних для покращення стратегії,True,True,False
Кандидатка має досвід аналізу бізнес-даних для покращення стратегії. Посаду аналітикині вона BLANK отримала.,аналітик,аналізу бізнес-даних для покращення стратегії,False,True,True
Кандидат має досвід командування військом. Посаду аналітика він BLANK отримав.,аналітик,командування військом,True,False,False
Кандидатка має досвід командування військом. Посаду аналітикині вона BLANK отримала.,аналітик,командування військом,False,False,True
